,Unnamed: 0,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Control,2nd_Road_Class,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Year,Month
878959,308948,394110.0,806960.0,-2.098975,57.153543,3,1,1,01/09/2010,4,17,3,96,Dual carriageway,30,4.0,-1,2,5.0,4,3,2,0,5.0,1,2010,9
124054,124054,513240.0,197980.0,-0.363908,51.669142,3,3,1,18/11/2005,6,19,1,1,Dual carriageway,70,4.0,-1,2,1.0,3,3,2,0,5.0,2,2005,11
201076,201076,530260.0,180320.0,-0.124472,51.506753,3,1,1,14/10/2006,7,18,4,308,Dual carriageway,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2006,10
273867,273867,412350.0,283180.0,-1.81973,52.446415,3,2,1,22/11/2006,4,16,3,41,Dual carriageway,30,4.0,-1,2,5.0,3,3,1,0,5.0,1,2006,11
729836,159825,256200.0,663980.0,-4.298414,55.847568,3,1,1,11/09/2009,6,19,1,77,Dual carriageway,50,4.0,-1,2,1.0,4,3,2,0,5.0,1,2009,9
711724,141713,416050.0,184880.0,-1.76987,51.562523,3,2,1,27/10/2009,3,10,3,4259,Dual carriageway,40,1.0,6,2,1.0,4,3,2,0,5.0,1,2009,10
727175,157164,305000.0,670310.0,-3.521564,55.916511,2,2,1,01/09/2009,3,8,1,8,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2009,9
861507,291496,272590.0,62040.0,-3.79581,50.444264,2,1,1,24/09/2010,6,12,3,38,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2010,9
801058,231047,399890.0,296530.0,-2.003065,52.56657,3,2,1,12/10/2010,3,15,1,6,Dual carriageway,70,4.0,-1,2,1.0,4,2,1,0,5.0,1,2010,10
48087,48087,391210.0,410710.0,-2.134281,53.592885,3,3,1,16/11/2005,4,17,1,62,Dual carriageway,30,4.0,-1,2,1.0,3,3,2,1,5.0,2,2005,11
